,id,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
61,Slovakia_2022-07-26,Slovakia,2022-07-26,627555,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
62,Republic of Moldova_2022-07-26,Republic of Moldova,2022-07-26,549333,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
63,Belarus_2022-07-26,Belarus,2022-07-26,16680,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
64,Poland_2022-07-25,Poland,2022-07-25,4923640,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
65,Russian Federation_2022-07-24,Russian Federation,2022-07-24,1826235,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
66,Hungary_2022-07-25,Hungary,2022-07-25,1035773,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
67,Romania_2022-07-21,Romania,2022-07-21,890168,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
68,Slovakia_2022-07-25,Slovakia,2022-07-25,625553,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
69,Republic of Moldova_2022-07-25,Republic of Moldova,2022-07-25,548030,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
70,Belarus_2022-07-25,Belarus,2022-07-25,16680,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
71,Russian Federation_2022-07-19,Russian Federation,2022-07-19,1745800,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
72,Republic of Moldova_2022-07-19,Republic of Moldova,2022-07-19,541323,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
73,Poland_2022-07-19,Poland,2022-07-19,4787154,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
74,Russian Federation_2022-07-18,Russian Federation,2022-07-18,1728407,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
75,Hungary_2022-07-19,Hungary,2022-07-19,995637,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
76,Romania_2022-07-18,Romania,2022-07-18,870241,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
77,Slovakia_2022-07-19,Slovakia,2022-07-19,610201,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
78,Republic of Moldova_2022-07-18,Republic of Moldova,2022-07-18,539652,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
79,Belarus_2022-07-19,Belarus,2022-07-19,16677,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
80,Poland_2022-07-12,Poland,2022-07-12,4627610,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
81,Poland_2022-07-11,Poland,2022-07-11,4608154,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
82,Russian Federation_2022-07-12,Russian Federation,2022-07-12,1625231,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
83,Romania_2022-07-12,Romania,2022-07-12,831957,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
84,Slovakia_2022-07-12,Slovakia,2022-07-12,589147,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
85,Hungary_2022-07-12,Hungary,2022-07-12,949664,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
86,Republic of Moldova_2022-07-12,Republic of Moldova,2022-07-12,531869,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
87,Belarus_2022-07-12,Belarus,2022-07-12,16675,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
88,Romania_2022-07-05,Romania,2022-07-05,786839,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
89,Poland_2022-07-05,Poland,2022-07-05,4472349,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
90,Russian Federation_2022-07-05,Russian Federation,2022-07-05,1518394,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
91,Hungary_2022-07-05,Hungary,2022-07-05,905104,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
92,Romania_2022-07-04,Romania,2022-07-04,781288,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
93,Slovakia_2022-07-05,Slovakia,2022-07-05,569702,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
94,Republic of Moldova_2022-07-05,Republic of Moldova,2022-07-05,523707,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
95,Belarus_2022-07-04,Belarus,2022-07-04,16668,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
96,Poland_2022-06-28,Poland,2022-06-28,4312612,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
97,Russian Federation_2022-06-28,Russian Federation,2022-06-28,1412429,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
98,Hungary_2022-06-28,Hungary,2022-06-28,860908,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
99,Romania_2022-06-27,Romania,2022-06-27,736083,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
100,Slovakia_2022-06-28,Slovakia,2022-06-28,548210,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
